nazov,date,daily_pocet_do,daily_pocet_z,daily_total,zemepisna_sirka,zemepisna_dlzka,smer_do,smer_z,weekday,is_weekend,month,year
#1 - Starý Most,2025-06-04,1249,107,1356,48.110442,17.127512,Centrum,Petržalka,2,0,6,2025
#1 - Starý Most,2025-06-05,1192,80,1272,48.110442,17.127512,Centrum,Petržalka,3,0,6,2025
#1 - Starý Most,2025-06-06,966,72,1038,48.110442,17.127512,Centrum,Petržalka,4,0,6,2025
#1 - Starý Most,2025-06-07,861,66,927,48.110442,17.127512,Centrum,Petržalka,5,1,6,2025
#1 - Starý Most,2025-06-08,182,28,210,48.110442,17.127512,Centrum,Petržalka,6,1,6,2025
#1 - Starý Most,2025-06-09,1053,95,1148,48.110442,17.127512,Centrum,Petržalka,0,0,6,2025
#1 - Starý Most,2025-06-10,1141,82,1223,48.110442,17.127512,Centrum,Petržalka,1,0,6,2025
#1 - Starý Most,2025-06-11,3,0,3,48.110442,17.127512,Centrum,Petržalka,2,0,6,2025
#1 - Starý Most,2025-06-12,1107,91,1198,48.110442,17.127512,Centrum,Petržalka,3,0,6,2025
#1 - Starý Most,2025-06-13,12,2,14,48.110442,17.127512,Centrum,Petržalka,4,0,6,2025
#1 - Starý Most,2025-06-14,754,67,821,48.110442,17.127512,Centrum,Petržalka,5,1,6,2025
#1 - Starý Most,2025-06-15,857,65,922,48.110442,17.127512,Centrum,Petržalka,6,1,6,2025
#1 - Starý Most,2025-06-16,484,69,553,48.110442,17.127512,Centrum,Petržalka,0,0,6,2025
#1 - Starý Most,2025-06-17,991,88,1079,48.110442,17.127512,Centrum,Petržalka,1,0,6,2025
#1 - Starý Most,2025-06-18,1225,84,1309,48.110442,17.127512,Centrum,Petržalka,2,0,6,2025
#1 - Starý Most,2025-06-19,1062,85,1147,48.110442,17.127512,Centrum,Petržalka,3,0,6,2025
#1 - Starý Most,2025-06-20,877,79,956,48.110442,17.127512,Centrum,Petržalka,4,0,6,2025
#1 - Starý Most,2025-06-21,764,65,829,48.110442,17.127512,Centrum,Petržalka,5,1,6,2025
#1 - Starý Most,2025-06-22,891,72,963,48.110442,17.127512,Centrum,Petržalka,6,1,6,2025
#1 - Starý Most,2025-06-23,821,77,898,48.110442,17.127512,Centrum,Petržalka,0,0,6,2025
#1 - Starý Most,2025-06-24,1147,90,1237,48.110442,17.127512,Centrum,Petržalka,1,0,6,2025
#1 - Starý Most,2025-06-25,906,92,998,48.110442,17.127512,Centrum,Petržalka,2,0,6,2025
#1 - Starý Most,2025-06-26,964,80,1044,48.110442,17.127512,Centrum,Petržalka,3,0,6,2025
#1 - Starý Most,2025-06-27,877,58,935,48.110442,17.127512,Centrum,Petržalka,4,0,6,2025
#1 - Starý Most,2025-06-28,789,66,855,48.110442,17.127512,Centrum,Petržalka,5,1,6,2025
#1 - Starý Most,2025-06-29,899,58,957,48.110442,17.127512,Centrum,Petržalka,6,1,6,2025
#1 - Starý Most,2025-07-02,1027,76,1103,48.110442,17.127512,Centrum,Petržalka,2,0,7,2025
#1 - Starý Most,2025-07-03,865,88,953,48.110442,17.127512,Centrum,Petržalka,3,0,7,2025
